sub_id,within_state_ps,between_state_ps,cluster,cluster_type,task_index
18,0.9931461254660896,0.9600451219289197,mPFC,DMN,0.03310100353716994
18,0.6294556756720118,0.6005784976428967,r-IPL,DMN,0.028877178029115047
18,0.7569829867789415,0.7495097675914614,RSC1,RSC,0.007473219187480118
18,0.9906977501281222,0.9631303932206288,l-IPS,CONT,0.027567356907493457
18,0.963712523501478,0.9394069037911458,r-IPS,CONT,0.024305619710332182
18,0.9099787957004619,0.8423354326947355,PCUN,DMN,0.06764336300572638
18,0.6828875006498609,0.6188832031509333,l-IPL1,DMN,0.06400429749892766
18,0.8167545895306709,0.7769013415374848,r-PFC,CONT,0.039853247993186125
18,0.8629753725552889,0.8321776223120232,l-PFC1,CONT,0.030797750243265698
18,0.855403548723529,0.8126382312579015,PCC,DMN,0.042765317465627506
18,0.8612178184153071,0.8624239895353376,RSC2,RSC,-0.0012061711200305192
18,0.773061980272147,0.7288159864449177,SFG,CONT,0.04424599382722927
18,0.9275269314352625,0.8985717385401191,l-PFC2,CONT,0.028955192895143478
18,0.9890834499254904,0.9777907054925923,MTG,DMN,0.011292744432898072
18,0.8540825188848694,0.8144072428790001,l-IPL2,DMN,0.03967527600586929
18,0.8911058081692707,0.8666272480046674,r-ITG,CONT,0.024478560164603258
19,0.6989035076050177,0.7049217967987736,mPFC,DMN,-0.00601828919375591
19,0.6157691576549335,0.5840746743188496,r-IPL,DMN,0.03169448333608382
19,0.6301851943184404,0.6378303389967304,RSC1,RSC,-0.007645144678289917
19,0.7580990133470814,0.7717774812857623,l-IPS,CONT,-0.013678467938680883
19,0.6752622507705281,0.6863740586759013,r-IPS,CONT,-0.011111807905373139
19,0.7340231198592411,0.7208841892441689,PCUN,DMN,0.013138930615072208
19,0.5702951805658167,0.5729042782060876,l-IPL1,DMN,-0.002609097640270841
19,0.6164331888560315,0.6064214574582119,r-PFC,CONT,0.010011731397819634
19,0.7421977217788838,0.7358582697669724,l-PFC1,CONT,0.0063394520119113285
19,0.7183987836336383,0.7445159325360577,PCC,DMN,-0.02611714890241945
19,0.7293304972768262,0.7156938990238386,RSC2,RSC,0.013636598252987575
19,0.6454964120264928,0.6466331006314037,SFG,CONT,-0.001136688604910896
19,0.8632268938459429,0.8504894622207799,l-PFC2,CONT,0.012737431625162943
19,0.7881085112217021,0.7608477359230175,MTG,DMN,0.027260775298684647
19,0.6551981263270859,0.6627372369560578,l-IPL2,DMN,-0.007539110628971946
19,0.6942981353250306,0.6958389179852904,r-ITG,CONT,-0.0015407826602598096
20,0.7359447116188491,0.7502668084000548,mPFC,DMN,-0.014322096781205662
20,0.6930938607349146,0.6835642476106056,r-IPL,DMN,0.009529613124309
20,0.6854430756636611,0.6832840911991745,RSC1,RSC,0.0021589844644865908
20,0.745353198934271,0.75181536451131,l-IPS,CONT,-0.006462165577039047
20,0.6631165965858054,0.6348153467602646,r-IPS,CONT,0.02830124982554072
20,0.6830200839336098,0.648602721598321,PCUN,DMN,0.034417362335288804
20,0.6424032892320031,0.6364071954472605,l-IPL1,DMN,0.005996093784742529
20,0.7642465018502742,0.7375592269193578,r-PFC,CONT,0.026687274930916383
20,0.5808569580612952,0.5764657196605432,l-PFC1,CONT,0.004391238400752062
20,0.6388915456670405,0.6343288612038493,PCC,DMN,0.004562684463191191
20,0.6731514986393847,0.6739574585612675,RSC2,RSC,-0.0008059599218828151
20,0.7691515864645109,0.7504822655153065,SFG,CONT,0.01866932094920437
20,0.8004284219409271,0.8005297823966087,l-PFC2,CONT,-0.00010136045568154284
20,0.7605986360033361,0.788222397703181,MTG,DMN,-0.02762376169984493
20,0.7402780522818971,0.7468048438241695,l-IPL2,DMN,-0.006526791542272314
20,0.8266947531805705,0.8002139837732003,r-ITG,CONT,0.026480769407370208
21,0.8695394693107379,0.83703294599487,mPFC,DMN,0.0325065233158679
21,0.631250619273857,0.610527528875037,r-IPL,DMN,0.02072309039881992
21,0.6475357280688654,0.6311875746762314,RSC1,RSC,0.016348153392633957
21,0.8299517199571502,0.8289002257263525,l-IPS,CONT,0.001051494230797756
21,0.7339526493073956,0.6860998996740328,r-IPS,CONT,0.04785274963336272
21,0.8012767504427558,0.7662927397315238,PCUN,DMN,0.03498401071123203
21,0.7437786619849567,0.7081651947884254,l-IPL1,DMN,0.035613467196531245
21,0.6511162143396869,0.6318981765966607,r-PFC,CONT,0.019218037743026217
21,0.8958162322510017,0.873650472586408,l-PFC1,CONT,0.022165759664593665
21,0.8625204843395708,0.8789382468803075,PCC,DMN,-0.01641776254073668
21,0.7189648490087676,0.6979683423178682,RSC2,RSC,0.020996506690899364
21,0.7499270907239248,0.7552777465705223,SFG,CONT,-0.005350655846597441
21,0.9411755457081532,0.9244747103043022,l-PFC2,CONT,0.016700835403851033
21,0.8478784919864675,0.8366554947941787,MTG,DMN,0.011222997192288808
21,0.6761629948092533,0.6661782519160874,l-IPL2,DMN,0.009984742893165977
21,0.803274656246897,0.7617912747319533,r-ITG,CONT,0.041483381514943685
22,0.7134295350125975,0.6952953543031001,mPFC,DMN,0.01813418070949746
22,0.5490988119145485,0.5351021803781377,r-IPL,DMN,0.01399663153641073
22,0.6541577864826598,0.6477270876741505,RSC1,RSC,0.0064306988085092165
22,0.7479958189625209,0.7539786422518326,l-IPS,CONT,-0.005982823289311767
22,0.7568854388713169,0.7581191724259839,r-IPS,CONT,-0.0012337335546670491
22,0.5895207113387754,0.6024677668153086,PCUN,DMN,-0.012947055476533187
22,0.6154843618859427,0.6299005304920562,l-IPL1,DMN,-0.0144161686061135
22,0.7436752224708096,0.7197796764104735,r-PFC,CONT,0.02389554606033617
22,0.7099334591704056,0.7201232323663402,l-PFC1,CONT,-0.010189773195934615
22,0.7846402134837016,0.767608612739978,PCC,DMN,0.017031600743723563
22,0.7195526531210237,0.7095745780609206,RSC2,RSC,0.009978075060103064
22,0.6073940850317554,0.6044732906972752,SFG,CONT,0.0029207943344802256
22,0.7656325002683443,0.7664465882546809,l-PFC2,CONT,-0.0008140879863366424
22,0.7338740852993026,0.7472461552747856,MTG,DMN,-0.013372069975482903
22,0.763650532800094,0.7750534298106054,l-IPL2,DMN,-0.011402897010511448
22,0.8449594521309278,0.8294217504770474,r-ITG,CONT,0.015537701653880465
23,0.8101123268970943,0.7974610383557481,mPFC,DMN,0.012651288541346228
23,0.6549304322125578,0.6479710389593006,r-IPL,DMN,0.006959393253257118
23,0.6638674938836494,0.6532701703216961,RSC1,RSC,0.010597323561953309
23,0.7646464477370747,0.7645947506399148,l-IPS,CONT,5.1697097159908445e-05
