,sub_id,within_state_ps,between_state_ps,cluster,cluster_type,visual_index
287,18,0.9089888315619121,0.8612463402263348,r-ITG,CONT,0.047742491335577286
288,19,0.7213034004767938,0.7191177989492634,mPFC,DMN,0.002185601527530334
289,19,0.6078179991397582,0.5875592764359553,r-IPL,DMN,0.02025872270380291
290,19,0.6567906554688829,0.6598311387605673,RSC1,RSC,-0.0030404832916843816
291,19,0.7942825940513192,0.7844692538499725,l-IPS,CONT,0.00981334020134672
292,19,0.7311044120086725,0.697901307464277,r-IPS,CONT,0.033203104544395456
293,19,0.6997007158028599,0.6671467300393179,PCUN,DMN,0.03255398576354196
294,19,0.5784838080489003,0.5729102611356411,l-IPL1,DMN,0.005573546913259175
295,19,0.6209803515870425,0.6350843756870583,r-PFC,CONT,-0.014104024100015877
296,19,0.7519181839811009,0.7338609846560256,l-PFC1,CONT,0.018057199325075324
297,19,0.7431720116398548,0.7224957347245073,PCC,DMN,0.020676276915347458
298,19,0.7731434587840962,0.7289754899512522,RSC2,RSC,0.04416796883284402
299,19,0.6536267525520532,0.6635902176984099,SFG,CONT,-0.00996346514635671
300,19,0.8313633796027253,0.8322984422927502,l-PFC2,CONT,-0.0009350626900248571
301,19,0.7838617355856865,0.7546509912253018,MTG,DMN,0.029210744360384733
302,19,0.6450378307103606,0.6561109073137372,l-IPL2,DMN,-0.011073076603376641
303,19,0.734014549165539,0.710066419850149,r-ITG,CONT,0.023948129315390032
304,20,0.7533716385383171,0.7272291698716798,mPFC,DMN,0.026142468666637275
305,20,0.6948005687766172,0.6973200620973866,r-IPL,DMN,-0.002519493320769395
306,20,0.6998020394493261,0.6867739988016865,RSC1,RSC,0.013028040647639516
307,20,0.8043006974676532,0.7823150095615967,l-IPS,CONT,0.021985687906056484
308,20,0.6835495564319309,0.6372961429864575,r-IPS,CONT,0.0462534134454734
309,20,0.6459729673961844,0.627743703501643,PCUN,DMN,0.01822926389454138
310,20,0.6235048588887147,0.5730476196885892,l-IPL1,DMN,0.05045723920012546
311,20,0.7672321178345796,0.775879102348824,r-PFC,CONT,-0.008646984514244394
312,20,0.6030365202120321,0.5646418727631523,l-PFC1,CONT,0.03839464744887988
313,20,0.6757687211226796,0.6187070615443828,PCC,DMN,0.057061659578296786
314,20,0.7159196201184739,0.6883473650455656,RSC2,RSC,0.02757225507290828
315,20,0.7988006768582546,0.7787993240018837,SFG,CONT,0.020001352856370946
316,20,0.8224220460428637,0.8119405155347641,l-PFC2,CONT,0.010481530508099635
317,20,0.7608123942542795,0.7438532090612846,MTG,DMN,0.016959185192994886
318,20,0.7665795824529995,0.7353814884067855,l-IPL2,DMN,0.031198094046213987
319,20,0.8002139176655306,0.7617830661776984,r-ITG,CONT,0.03843085148783221
320,21,0.7841221736500736,0.7950084489921472,mPFC,DMN,-0.010886275342073537
321,21,0.6281559965903435,0.6368146387704617,r-IPL,DMN,-0.008658642180118248
322,21,0.6659502924188871,0.6864412862274057,RSC1,RSC,-0.0204909938085186
323,21,0.8140976786575678,0.8057065596259447,l-IPS,CONT,0.00839111903162304
324,21,0.6899593031727642,0.7069919049309279,r-IPS,CONT,-0.01703260175816368
325,21,0.69123735967838,0.7166499928613546,PCUN,DMN,-0.025412633182974598
326,21,0.6371079189839512,0.6257968032938811,l-IPL1,DMN,0.01131111569007015
327,21,0.6527928475600981,0.6556066357688211,r-PFC,CONT,-0.0028137882087229116
328,21,0.8448065024262336,0.8520622323689526,l-PFC1,CONT,-0.007255729942719058
329,21,0.8375821423904338,0.8361487494764936,PCC,DMN,0.001433392913940179
330,21,0.7181004481024191,0.7454398937090434,RSC2,RSC,-0.02733944560662427
331,21,0.6915401724240453,0.6778947130495621,SFG,CONT,0.013645459374483249
332,21,0.9128059230984572,0.9148301148485551,l-PFC2,CONT,-0.0020241917500979367
333,21,0.7847956319391689,0.7788613084554636,MTG,DMN,0.005934323483705262
334,21,0.6485968773579134,0.6496915473702476,l-IPL2,DMN,-0.001094670012334209
